circularity,aspect_ratio,holes,area,is_hollow,material,label
0.9345,1.1,1,481.95,1,0,tubo_redondo_oco
0.957,0.9379,0,287.42,0,0,tubo_redondo_macico
0.6426,0.5328,0,2510.04,0,0,tubo_quadrado_macico
0.9589,1.0427,1,289.84,1,0,tubo_redondo_oco
0.82,0.9916,1,1219.89,1,0,tubo_quadrado_oco
0.6351,0.5598,1,986.34,1,0,tubo_quadrado_oco
0.9414,0.9817,1,442.74,1,2,tubo_redondo_oco
0.7545,0.9766,0,300.0,0,0,tubo_quadrado_macico
0.9388,0.9867,1,830.04,1,1,tubo_redondo_oco
0.9649,0.9686,0,250.0,0,1,tubo_redondo_macico
0.9972,0.9645,1,172.59,1,0,tubo_redondo_oco
0.9594,1.0172,1,500.66,1,0,tubo_redondo_oco
0.9148,1.0003,0,1400.31,0,0,tubo_redondo_oco
0.475,0.2453,0,18000.0,0,2,tubo_quadrado_macico
1.0,1.0005,0,318.12,0,0,tubo_redondo_macico
0.7923,0.9924,1,347.34,1,0,tubo_quadrado_oco
0.9149,0.9718,1,614.4,1,0,tubo_redondo_oco
0.8038,0.9958,1,918.21,1,0,tubo_quadrado_oco
0.7667,1.0073,1,493.25,1,0,tubo_quadrado_oco
0.9184,1.0064,1,297.83,1,1,tubo_redondo_oco
0.9573,1.0532,1,943.9,1,2,tubo_redondo_oco
0.4985,0.15,0,13260.4,0,0,tubo_quadrado_macico
0.5453,0.4111,0,8399.93,0,0,tubo_quadrado_macico
0.457,0.2124,0,18000.0,0,2,tubo_quadrado_macico
0.9529,1.0494,0,8767.88,0,0,tubo_redondo_macico
0.5545,0.4429,0,1215.4,0,1,tubo_quadrado_macico
0.9546,1.0131,1,605.76,1,2,tubo_redondo_oco
0.9821,0.9,1,626.62,1,0,tubo_redondo_oco
0.6556,0.7536,0,1915.1,0,0,tubo_quadrado_macico
0.9256,1.03,0,4519.79,0,0,tubo_redondo_macico
0.5649,0.3727,0,15623.66,0,1,tubo_quadrado_macico
0.7945,0.9803,1,442.8,1,0,tubo_quadrado_oco
0.904,1.014,1,366.79,1,0,tubo_redondo_oco
0.604,0.503,1,326.78,1,0,tubo_quadrado_oco
0.725,0.9653,1,600.28,1,0,tubo_quadrado_oco
0.7279,1.0046,0,1359.49,0,0,tubo_quadrado_macico
0.9754,1.0358,1,270.75,1,1,tubo_redondo_oco
0.8026,0.9182,0,316.11,0,0,tubo_quadrado_macico
0.9681,1.0079,0,1933.66,0,0,tubo_redondo_macico
0.6305,0.5382,1,1026.0,1,0,tubo_quadrado_oco
1.0,0.9489,0,4717.72,0,1,tubo_redondo_macico
1.0,1.0212,1,765.54,1,2,tubo_redondo_oco
0.7413,1.05,0,300.0,0,2,tubo_quadrado_macico
0.4757,0.3138,0,18000.0,0,0,tubo_quadrado_macico
0.906,1.0184,1,1688.95,1,1,tubo_redondo_oco
0.7741,1.0156,1,633.07,1,0,tubo_quadrado_oco
0.82,0.995,0,5518.91,0,0,tubo_quadrado_macico
0.9725,1.0074,1,1318.56,1,2,tubo_redondo_oco
0.9778,0.9948,1,1832.84,1,0,tubo_redondo_oco
0.7655,0.9806,0,330.34,0,0,tubo_quadrado_macico
0.6685,0.4791,1,415.98,1,0,tubo_quadrado_oco
0.7235,0.608,1,297.9,1,2,tubo_quadrado_oco
0.9735,1.0139,1,299.38,1,0,tubo_redondo_oco
0.6819,0.6823,0,1309.56,0,0,tubo_quadrado_macico
0.4952,0.1984,0,18000.0,0,0,tubo_quadrado_macico
0.9565,0.9261,0,4380.54,0,0,tubo_redondo_macico
0.7564,0.9763,1,1692.29,1,0,tubo_quadrado_oco
0.7665,1.0278,1,286.62,1,0,tubo_quadrado_oco
0.957,1.0968,1,173.66,1,2,tubo_redondo_oco
0.7929,0.9967,1,343.1,1,0,tubo_quadrado_oco
0.9553,0.9409,1,596.65,1,0,tubo_redondo_oco
0.7603,1.05,1,315.47,1,0,tubo_quadrado_oco
0.9689,0.9678,0,250.0,0,0,tubo_redondo_macico
0.599,0.6383,0,8488.95,0,0,tubo_quadrado_macico
0.6367,0.5073,0,1086.09,0,1,tubo_quadrado_macico
0.9469,1.0171,1,877.0,1,2,tubo_redondo_oco
0.7686,0.8087,0,760.52,0,0,tubo_quadrado_macico
0.4818,0.218,0,9758.7,0,0,tubo_quadrado_macico
1.0,0.9948,1,481.1,1,0,tubo_redondo_oco
0.8853,1.0874,0,1062.7,0,0,tubo_redondo_macico
0.9789,1.0005,0,7022.42,0,1,tubo_redondo_macico
0.9568,1.0931,1,192.24,1,2,tubo_redondo_oco
0.9505,1.0034,0,468.37,0,0,tubo_redondo_macico
0.9575,1.0279,0,250.0,0,0,tubo_redondo_macico
0.9221,0.9924,0,250.0,0,0,tubo_redondo_macico
0.5771,0.4326,0,18000.0,0,0,tubo_quadrado_macico
0.9517,0.956,0,6501.44,0,0,tubo_redondo_macico
0.7817,0.9844,0,873.83,0,1,tubo_quadrado_oco
0.5125,0.4827,0,18000.0,0,0,tubo_quadrado_macico
0.9552,1.0325,0,3116.56,0,0,tubo_redondo_macico
0.6266,0.5513,1,1062.92,1,0,tubo_quadrado_oco
1.0,1.042,0,2023.46,0,1,tubo_redondo_macico
0.4836,0.2853,0,8739.68,0,0,tubo_quadrado_macico
0.952,1.0363,0,719.2,0,0,tubo_redondo_macico
0.9941,1.0145,1,307.24,1,0,tubo_redondo_oco
0.946,0.9203,1,614.51,1,2,tubo_redondo_oco
0.7874,1.05,1,542.97,1,0,tubo_quadrado_oco
0.7021,1.05,1,901.15,1,1,tubo_quadrado_oco
0.9387,1.0442,0,6266.89,0,1,tubo_redondo_macico
0.787,0.987,1,517.82,1,1,tubo_quadrado_oco
